Unnamed: 0,Направление,Дата создания,Текст
420,Дороги,2022-02-24,"Невский район, Бабушкина 52, 48 не убирается вообще, (земли входят в земли общего пользования, договор на уборку заключен районной администрацией с ООО ЖКС 1 Невского р-она), районная администрация не способна решить проблему:"
421,Благоустройство,2022-02-24,"Здравствуйте! Город в ледяном плену. Кто-нибудь что-нибудь делать будет или лица, отвечающие за уборку города, ждут, когда само рассосётся??? Вернее, растает, и мы все сядем в лодки. Выборгский район, территория возле администрации округа Сосновское на Есенина 7к1, Есенина 5, Сикейроса 10 (Территория прямо за ограждением всем известного ДЦ№1.) - один сплошной ледяной панцырь, ничем не посыпанный, вообще не убирающийся. Дом Сикейроса 12: пока придворовая территория не была на балансе города (порядка 20 лет), двор нормально убирался. Как только о нашем дворе «вспомнили» власти и взяли на баланс, во дворе коллапс - снег не убирается практически никак. Только раз в неделю пройдутся гастарбайтеры, в парк-тройке мест создадут видимость работ - и по-тихому сваливают. Один наш дворник добросовестно чистит пешеходные дорожки, а остальная территория - сплошной каток из бугров. Вчера была оттепель, самое время убирать оттаявшую наледь. Нет! Зачем?! Лучше прийти убирать тогда, когда всё снова замёрзнет!!! Всё, извините, через одно место!!! Нет рабочих ресурсов убирать вовремя - ну так хотя бы посыпали бы песком или солью! И плевать уже на обувь!!! Лучше испорченная обувь, чем сломанные кости. Невозможно ни ходить, ни припарковать машину из-за ледяного наста от 20 см и более. Или у травматологов мало работы?! Имея заболевание костно-мышечной системы и испытывая постоянные физические боли, я вынуждена уже который день и месяц долбить лёд, копать снег, чтобы припарковать и откопать машину. И машина для меня - не роскошь, а мои ноги и руки. НУ ЗАСТАВЬТЕ ВЫ, НАКОНЕЦ, РАБОТАТЬ ТЕХ, КТО ЗА ЭТО ДОЛЖЕН ОТВЕЧАТЬ!! ПОЖАЛУЙСТА!!! Мы ведь не глубинка какая-то, а САНКТ-ПЕТЕРБУРГ, вторая столица! Даже стыдно за наш город! Понимаю, что наверняка до Александра Дмитриевича Беглова не доходят подобные сообщения, но всё же хочется надеяться, что это не так."
422,Дворы и территории общего пользования,2022-02-24,"Очистка внутри домовой территории ул.Хошимина корпуса 1и 2, была произведена 19.02.2022г. безобразно! Часть территории не почищена вообще. Часть завалена убранным снегом. Убранный снежные глыбы были свалены на парковочные места во дворе, также свалены в гору выше двух метров в пяти метрах от дома, что весной приведет к затоплению подвала при таянии такого количества снежных масс. Голый лёд во дворах не обработан противогололедными средствами. Просим организовать уборку дворовой территории с соблюдением всех норм и требований."
423,Дороги,2022-02-24,"С одной стороны дома поковырялись, а на другую даже и не пошли!!!"
424,Дворы и территории общего пользования,2022-02-24,"Добрый день!уважаемые МО Шушары, не могли бы вы быть так любезны и убрать огромную наледь во дворе по адресу поселок Шушары Славянка Колпинское шоссе 10 корпус 4!!!!ни ходить ни ездить не возможно,местами подтаивает потом сново замерзает ,из за этого сплошные бугры.не могу понять почему в некоторых дворах убираете нормально до асфальта,а в нашем один раз убрали просто снег и все.Просьбо помочь нам в добросовестной уборке двора,а то даже реагент не кто не сыпит из рабочиш на дорогу ."
425,Благоустройство,2022-02-24,"Здравствуйте Александр Дмитриевич, помогите решить с проблему с 50 сантиметровымм глыбами льда, которые ни разу - подчеркну ""ни разу"" не убирали за всю зиму, к дому, не подойти, с коляской не заехать, люди падают. Ленсоветовский дом 21 без корпуса, это Пушкинский район. Помогите пожалуйста."
426,Благоустройство,2022-02-24,"[id437734987|Наталья], а куда вывезли Вы знаете ? В моём районе до сих пор не вывезли, и даже не убрали . А во дворах шорт-трек или плавание, в зависимости от температуры. Как думаете, если снег вывезен, может какая-то субстанция сначала замёрзнуть, потом растаять и после снова превратиться в каток ? )))"
427,Благоустройство,2022-02-24,"Здравствуйте. Было обращение от собственника проживающего по адресу прибрежная 2/41,по вопросу уборки придомовой территории, фото ответа от администрации невского района прилагаю !<br>В котором ответом следует , что состояние придомовой территории удовлетворительное !<br>Прошу заметить , что систематически не проводится уборка , на данный момент снега/льда, последний раз уборка была произведена 31 декабря под моим контролем ! Я поймала дворников , которые систематически не замечают нашу территорию !<br>жкс -1 на все заявки от собственников , отвечают что выполнены !<br>Павел Вячеславович<br>8911-111-93-47(ответственный за наш участок ) , отвечает , что подрядчик заявку выполнил !<br>Получается все заявку «выполнили «, но ходим мы по льду ! Фото прилагаю от 23 февраля !<br>Обстановку в городе все адекватно понимают , но тут уже переходит все границы , получается мы платим деньги и не получаем ничего , а подрядчик заявляет , что работы были проведены ! Во дворе напротив , обслуживаемый тоже жкс -1 , постоянно ведут уборку , а нас проходят мимо !<br>Прошу вас посодействовать решению проблемы , мы уже не знаем куда обращаться !"
428,Дворы и территории общего пользования,2022-02-24,Почему не обрабатывают наледь на дорожке
429,Дороги,2022-02-24,"[id25317327|Наталья], Поддерживаю!!! Уточню адрес сьемки для администрации Выборгского района. п. Парголово ул Тихоокеанская д18 к1. Заезд во двор, подьезд к дому по адресу ул Тихоокеанская д18 к2 стр 1, со стороны ул. Первого Мая, в таком же отвратительном состоянии!!!! Уважаемая Администрация Выборгского района, вы считаете это безопасные и качественные автомобильные дороги????"
430,Благоустройство,2022-02-24,"Ранее я писала обращение 174963796 от 03.02.2022 в котором сообщала об ужасном состоянии въезда во двор, который по причине ремонта теплотрассы на Омской ул. остался единственным въездом во двор. При этом в данном дворе находится прокуратура Приморского района и поэтому этим въездом очень активно пользуются не только жители дома. Управляющая компания насыпала песка после моего обращения. Но насыпала его только на половину дороги, на всю дорогу не хватило. При этом песок практически сразу ушёл вместе со снегом и дорога всё хуже и хуже с каждым днем. Следующим шагом я буду агитировать жителей дома обращаться за взысканием ущерба нашим автомобилям из-за такой вот дороги и бездействия со стороны администрации по принуждению управляющей компании и привести възд в надлежащий вид. Песком там не спасти ситуацию! Прилагаю фото на сегодняшний день."
431,Благоустройство,2022-02-24,Множественные ямы на внутри дворовой дороге от дома 28 до дома 24 по по. Славы
432,Дворы и территории общего пользования,2022-02-24,"На внутри дворовой дороге по пр. Славы д. 24 ямы, одна в начале дома, другая в конце когда машины припаркованы нет возможности объехать и машина колёсами попадает в яму. Ямы глубокие."
433,Дворы и территории общего пользования,2022-02-24,"Всю зиму тут яма, в которой все застревают, я сломал один раз бампер, а сегодня я разбил радиатор масляный охлаждениях двигателя! И машину увёз на эвакуаторе! Кто мне выплатить деньги за ремонт!? Почему управляющая компания ничего не делает с этой ямой"
434,Благоустройство,2022-02-24,"Добрый вечер. Повторно обращаюсь в вам с просьбой помочь решить вопрос с очисткой от снега и наледи в дворовых подьездах в Красном селе на улице Освобождения. Наш дом 33к2. Должны убирать жкс красносельского района. Ничего не убрали а теперь образовалась колея через которую можно проехать только на внедорожнике.<br>Мне приходится оставлять машину через три дома от своего так как не проехать. Колея и ледяные ямы по 30- 40см. Машина садится на днище, царапает его. Почему не могут убрать наледь? Я оставлял заявки в 004 и диспетчерскую жкс. Ничего не делают. А машины потом свои жителям ремонтировать? <br>Помогите пожалуйста решить эту проблему."
435,Благоустройство,2022-02-24,"Хотя бы песком лёд посыпали, из дворы на ул. Бабушкина, 63, на ул.Бабушкина не выйти."
436,Дороги,2022-02-24,"Здравствуйте, Александр Дмитриевич! Дворовые проезды и территория по адресу ул. Дыбенко 27-3 и близлежащем радиусе находятся в ужасном состоянии. Снег не убирался с начала зимы, сначала образовалась коллейность на самом не убранном снегу, теперь после оттепели подтаявший неубранный снег замёрз и образовался гололёд на рельефной поверхности. Помимо риска для автомобилей получить ущерб зацепившись дном о неровную поверхность и непроизвольному скатыванию в колею или из неё, риску для здоровья и жизни подвергаются пешеходы, которые не имеют возможности обойти проезды, т.к. все завалено замерзшими сугробами, вынуждены двигаться по вышеупомянутым заледенелым рельефным проездам рискуя поскользнуться на бугристой скользкой и жесткой поверхности и получить серьезные травмы. При проезде на данном участке автомобиля и движении пешехода, места разойтись практически нет, что также становится небезопасным. Прошу Вас принять меры"
437,Дороги,2022-02-24,Дорога льдом покрыта
438,Дороги,2022-02-24,"Народная и Новосёлов в Невском районе как были в ужасном состоянии во дворах, так и есть, как и весь Невский район. И каждый день люди возмущаются и пишут, но всем наплевать на него. https://vk.com/wall-202502317_15162. Дорога по Новосёлов к ЖЭС N 5 в безобразнейшем состоянии, а проход к детскому саду за ЖЭС и школе вообще как катакомбы. Там только альпинисты могут ходить, а не дети с родителями. За всю зиму кошмарный проход весь в ямах, лужах по колено к садику и гололед, ни разу не сыпали и не убирали"
439,Дороги,2022-02-24,"Доброе утро,господин губернатор! Извините за такой вопрос, а у Вас около дома такая же ситуация? Это во дворе Евдокима Огнева 22, а это со стороны улицы этого же дома. Может Вашим помощникам наша жилконтора даст ответ, почему такая разница в очистке территории около одного дома. Заранее огромное спасибо. С уважением, Душкина Наталья Владимировна."
440,Дороги,2022-02-24,"Александр Дмитриевич, здравствуйте, помогите нам пожалуйста, мы родители детей, которые посещают коррекционную школу 34 Невского района на улице Шотмана. Дело в том, что нам и детям сложно не только под'ехать, но и подойти к учебному заведению, перед нами большая колея на дороге и лёд, приходится в прямом смысле "" отпрыгивать "" с наляди на ледовую обочину, если едит авто, но и для машины проезд весьма затруднительные. Помогите пожалуйста, на нашу просьбу нет отклика!"
441,Дороги,2022-02-24,"Ни один террорист не подойдет к нашем домам - Администрация Невского района заботится, чтобы мы жили как в осаде : территория двора покрыта слоем льда, уборка не осуществляется. (Большая просьба не выражать ""беспокойство"" - я и так в курсе, что к апрелю ситуация уже не будет вызывать ""беспокойство"")."
442,Дороги,2022-02-24,"Здравствуйте.<br>Пожалуйста 🙏🙏🙏 повлияйте на уборку этих ледовых глыб во внутреннем дворе дома Искровский проспект 6 корп 5 (1 подъезд) , между домом 6 корп. 4.<br>Нам трудно выйти из подъезда. От двери уклон к дороге, который в голом льду, даже не посыпан песком. Спуститься с тротуара от подъезда на дорогу, это как в рулетке, повезёт,не упадёшь, не повезёт, увы 😒<br>Мама старается вообще не выходить из дома.<br>Я с коляской не могу через колею проехать. Это все глыбы высотой 20-30 см. На машине на Припарковатся без посторонней помощи."
443,Благоустройство,2022-02-24,
444,Дворы и территории общего пользования,2022-02-24,"Придомовая территория не очищается ото льда, очень скользко и опасно ходить. Из-за льда и выбитых машинами колей к подъездам даже скорой не добраться. УК мер не принимает."
445,Дворы и территории общего пользования,2022-02-24,"Просим убрать придомовую территорию от наледей. За время этой снежной зимы наш двор убирали ОДИН раз. Или в конце ноября или в начале декабря. Противогол. реагенты не использовались. Образовались огромные наледи. 10 февраля к нашей радости появились дворники и мини трактор. Мини трактор через 10 минут уехал, т.к. с наледями он справиться не мог. 4 дворника напротив 9 подъезда скалывали наледи вручную. 2 дворника ушли через два часа после начала работы, остальные два еще через два часа. Автомобилисты жалуются на поврежденные бамперы при въезде на парковку. Во дворе 4 офиц. парковки. В ЖКС№3 звонила, но там не в курсе кто и где убирает. По тел 409-73-78 ответили, что моя жалоба ко мне и вернется. Председатель ЖСК1180 Забашта Татьяна Александровна"
446,Дворы и территории общего пользования,2022-02-24,"Во дворе улицы добровольцев 48 , 48/2 везде лёд. Невозможно проехать на машине. Машины трутся дном о лёд. Люди передвигаются еле еле, были случаи падения и переломов. Управляющая компания не реагирует на заявки"
447,Дворы и территории общего пользования,2022-02-24,"Голый лед вдоль домов 20-40 по Ярославскому пр, тротуар ближе к четной стороне домов. ГУП РЭП Прогресс сообщает, что это не их зона ответственности. Дворник только возле парадной посыпает песком. Данная ситуация ВСЮ зиму, 23.02 не звонили, так как праздник, 24.02 звонили по 04 и оформили заявку"
448,Дворы и территории общего пользования,2022-02-24,"Повторно. Не убирается территория вокруг. Дома. Убрали снег у дома 38, кор. 5, по пр.Большевиков., свалив грязный снег на газон. У дома 38к2 по. Пр. Большевиков так ничего и не убирали."
449,Благоустройство,2022-02-24,"Народная 16, во дворе не проехать на седане из-за льда. В ЖКС обращались, «результат» на фото"
450,Благоустройство,2022-02-24,"Нет слов! Из-за некачественной уборки нашего двора застряла пожарная машина! Уже 40 минут буксует. Вышли жители, пытаются помочь, но бесполезно. Тихоокеанская 1 корпус 1 строение 1.<br>Видео от Юлии Поповой"
451,Благоустройство,2022-02-24,"[club54549564|Выборгский район Санкт-Петербурга],<br>VID_20220224_214134.mp4"
452,Благоустройство,2022-02-24,"Попробовала, не действует. Адрес прежний, Гражданский 105 к. 1 вдоль дома ходить опасно"
453,Дворы и территории общего пользования,2022-02-24,"На сегодняшний день (24 февраля 2021г) на въезде к ЖК ""Ландыши ( проспект Маршала Блюхера 7 к3 ) со стороны пр. Полюстровский обнаружены 3 ямы , размеры которых превышают предельно допустимые размеры. В соответствии с ГОСТ Р 50597-93 эти повреждения опасны для водителей и пешеходов. Несколько ям залиты водой и тем самым не возможно точно замерить размеры ям , но глубина этих ям намного больше 5см. Прошу принять меры."
454,Дворы и территории общего пользования,2022-02-24,"В асфальте на проезде возле торца дома по Науки .26, огромные ямы"
455,Дороги,2022-02-24,"Здравствуйте,просьба ознакомиться.<br>> ['На жителей жилого комплекса [club159106825|ЖК ЦДС Московский] никто не обращает внимания. https://t.me/cdsmoskovskiy\nЛюди уже 2 года живут с одной дорогой, закрытой железной дорогой. \nЧасто поезда встают по 30-40 минут и появляются пробки на Пулковском шоссе, взрослым и детям приходится пролезать под поездами что бы не опоздать на работу, в школу и детские сады. \nЕдинственная дорога вся в ямах и в лужах.Водители портят свои машины \nДорога до Среднерогатской по грязи и так же через железную дорогу.\nБлижайшая остановка 20 мин пешком.\nВот такие объекты строит [club94711474|Группа ЦДС]\n[club176831236|Комитет по развитию транспортной инфраструктуры] обещает отремонтировать дорогу к середине апреля. Мы жители понимаем что надо предпринять временные меры что бы данная дорога дотянула до апреля. \n[id535438957|Александр] [club157419025|Московский район Санкт-Петербурга] [id571966662|Владимир Ушаков] помогите пожалуйста данному ЖК.\nЗа сюжет спасибо ""Невские новости"" \n\n#нашсамсон #средняярогатка #самсон #московскийрайон #полис #поликлиника #поликлиникаполис #поликлиникасредняярогатка #новаяклиникасамсон #среднерогатская #дунайский #жк #ЖКТриумф #ЖКМосковский #жкжизнь #жкдвестолицы #жкцдсмосковский #ЖКПулковский #ЖККрылья #жкПулковскийпосад #жк4you #жклетний #жкоазис #жкgreentower #жкsalut! \n#звездная #московская #средняярогатка #спб #цдс #цдсМосковский']"
456,Дворы и территории общего пользования,2022-02-24,"Уже много обращений на тему брошенной дороги. Вопрос так и не решен, участок дороги не обслуживается. Ежедневно на участке застревает автотранспорт, о безопасности не идёт речь вовсе. Можно уже за много лет решить кто будет отвечать за плохое состояние дорог?"
457,Дворы и территории общего пользования,2022-02-24,"Здравствуйте. Беспокоит состояние дорог территории на улице Червонного Казачества д. 4-6-8: уже который год наблюдаем их плачевное состояние, затрудняющее движение машин, пожилых и родителей с колясками. Просим активно принять меры по ремонту. По необходимости могу приложить фотографии."
458,Автомобильные дороги,2022-02-24,"Глубокая ""большая"" яма по центру дороги"
459,Автомобильные дороги,2022-02-24,Очень глубокие и опасные ямы на Карбышева. От BP до ж/д моста.
460,Автомобильные дороги,2022-02-24,"Ужасное состояние Шафировского проспекта, а также всего Индустриального проспекта, сплошь колейность и большие ямы, причем по всей его протяженности! С такими ямами большая вероятность ДТП и поломки авто. Прошу сообщить о сроках ремонта в установленные законом сроки."
461,Автомобильные дороги,2022-02-24,Отсутствует твердое покрытие на улице Тбилисской. Грунт разбивается автомобилями.
462,Общественный транспорт,2022-02-24,"Добрый день. Подготовил документ с маршрутом моего движения на автотранспорте по территории промышленной площадки, бывшая территория Ижорских заводов. Пользовался онлайн картой: Яндекс Карты. Красной линией отмечен маршрут движения. На данном маршруте требует особого внимания состояние дорожного покрытие, а именно многочисленное наличие ям, больших и огромных ям, выбоин и неровностей. В неудовлетворительном состоянии ж\д переезды, пешеходные переходы. Также внимание требует площадка у проходной КСМ, выделена на карте красным квадратом."
463,Автомобильные дороги,2022-02-24,"Ямы на проезжей части дороги на наб. Смоленки (от ул. Уральская до наб. Макарова), г. Санкт-Петербург"
464,Автомобильные дороги,2022-02-24,Большая яма поперёк дороги.
465,Благоустройство,2022-02-24,"> ['Здравствуйте уважаемые соседи. Живу на Энергетиков в 60х домах с рождения более 40 лет. Первый раз такая зад...а (простите).Куда ещё обращаться не знаю, писали и в администрацию района и т.д. Дело в асфальте ( вернее в его отсутствии). От шоссе Революции в сторону Блюхера, и далее по Бестужевской улице жуткие ямы в неимоверном количестве, это ещё снег не сошел, весной будет только хуже. Кладут периодически заплатки, которых хватает на месяц. За последние уже лет 20 новый асфальт полностью помоему не клали. 2,3 раза в неделю люди теряют в ямах пружины, колёса и т.д.\n\nОт подписчика: Андрея Б.']"
466,Дворы и территории общего пользования,2022-02-24,"Провал асфальта, в темноте легко попасть в яму"
467,Мусор,2022-02-24,"Здравствуйте! Прошу убрать мусор вокруг стояночных комплексов по улице Есенина, 23/2"
468,Дороги,2022-02-24,Добрый день. Похоже очередь до нас ещё не дошла. Снежная каша с водой превратилась в лёд. Ходит по нему не возможно. Ждём уборку льда по моему сообщению выше. Спасибо.
469,Дороги,2022-02-24,Сообщение без текста
470,Благоустройство,2022-02-24,"Невозможно ходить, когда закончится этот беспредел? Калининский район"
471,Благоустройство,2022-02-24,"Уборкой пешеходной дорожки займитесь!<br>Между д.36к3 Новоизмайловский и д.45к4 Варшавская.<br>С пешеходной дорожки 3 неделю не убран притоптаный снег, превратившийся в наледь. Ледяные кочки на дорожке"
472,Благоустройство,2022-02-24,"Скажите, пожалуйста, по такому можно ходить? Просвещения 15<br>Оставлял заявку на спйте мой Санкт-Петербург номер 4072095.в ответ нагло пишут, что все убрали"
473,Дороги,2022-02-24,"Добрый день. Временным складированием тут и не пахнет! Мало того, что мы ночами вынуждены слушать грохот самосвалов и НЕ СПАСТЬ на протяжении 2 месяцев,так они ещё и тротуар завалили. Люди ходят по проезжей части. Беспредел уже этот достал!!!!! Законы дейсвуют только на бумажках!"
474,Дороги,2022-02-24,"На фото пешеходный переход на улице Бухарестская, Альпийский переулок. Чтобы нажать кнопку светофора, необходимо вскорабкаться на горку, что изо льда вокруг столба. Интересно, все пешеходы на это способны?"
475,Дворы и территории общего пользования,2022-02-24,"Была произведена уборка улиц от снега, все сложили в одну кучу. Также убирали снег возле школы и поликлиники, снег также вывезли в эту кучу. Просьба убрать."
476,Автомобильные дороги,2022-02-24,Требуется Уборка льда по всему тротуару по Ул Менделеевская
477,Автомобильные дороги,2022-02-24,"Пешеходы, проходя по тротуару от монастырского моста по пр.Обуховской Обороны в сторону шлисельбургского моста слабо защищены от брызг проезжающего транспорта по время паводков и таяния снега. К тому же после ремонта сделали тротуар слишком узким, в результате пешеходам почти не возможно скрыться от брызг. Единственное место, где есть защита это надземный пешеходный переход у заправочной станции и часть тротуара около неё. По части дороги вдоль Лавры есть два места, где собираются лужи и не все водители снижают скорость."
478,Дворы и территории общего пользования,2022-02-24,"Добрый вечер. Прошу обратить внимание на ситуацию с дорогами и внутридворовыми территориями в ЖК Ладожский парк. Колейность, наледь не дает возможности нормально проехать и припарковать автомобили, систематически возникают аварийные ситуации. Пожилые дети, маленькие дети и мамы с колясками лишены возможности нормально передвигаться на территории жилого комплекса. Из трех очередей нормально вычистили только одну из них. На территории между домамиВорошилова 25/2, 27/1, 27/2 , 29/1 не очистили вообще."
479,Дороги,2022-02-24,"Нужен тягач, если и он не увязнет"
480,Дороги,2022-02-24,"[club54549564|Выборгский район Санкт-Петербурга], вот такая сейчас дорога"
481,Дороги,2022-02-24,"Здравствуйте, Александр Дмитриевич, прошу вас разобраться с въездом во двор ул. Верхне-Каменская, д.7 к.1. Двор глухой, заезд и выезд только один, который ни кто не чистит, так как ни администрация приморского района, ни застройщик не признает это своей территорией. На данный момент колея из льда составляет 15 сантиметров, дорога аварийная, а другой дороги просто нет. Время выезда со двора составляет от 10-30 минут. Мы все жители дома очень просим Вас помочь разобраться в этом вопросе."
482,Дворы и территории общего пользования,2022-02-24,"Во дворе корпуса 4 дома по ул Планерная 73, да и в соседних дворах тоже, невозможно проехать, наледь и колея очень высокие, никто не производит уборку начиная с начала этого года. Легковые автомобили не могут проехать, садятся на днище. Пенсионеры не могут пройти. Просьба в кратчайшие сроки очистить проезжую часть внутридворовой территории."
483,Дворы и территории общего пользования,2022-02-24,Наледь на проезжей части. Заносит ТС. Риск ДТП по причине не надлежащей уборки. Заранее спасибо
484,Благоустройство,2022-02-24,Сообщение без текста
485,Дворы и территории общего пользования,2022-02-24,"пос Шушары (тер. Славянка) Ростовская ул 26к2 Во дворе невозможно ездить. Колея все выше и выше. Я уже чиркаю днищем об лед просто двигаясь по двору, не говорю уже о парковке. Звонки в УК и в Благоустройство не дают мне никакого ответа. Либо это не их проблема, либо просто никто не отвечает."
486,Дворы и территории общего пользования,2022-02-24,"Не убрана проезжая часть возле дома и внутри двора, в итоге образовалась большая колея, не заехать и не припарковать автотранспортное средство"
487,Автомобильные дороги,2022-02-24,Большая наледь на дороге и машинам сложно выехать
488,Автомобильные дороги,2022-02-24,Лёд на дороге! Необходимо устранить!
489,Дворы и территории общего пользования,2022-02-24,"Глубочайшие выбоины и надолбы изо льда! Глубиной до 40 см! Не знаю как машинам, но для пешеходов катастрофа! Все падают! Требуется очистка мощным грейдером (тяжелым трактором)!"
490,Благоустройство,2022-02-24,"Добрый день. Хотелось бы обратить внимание на состояние дорог в ЖК Ладожский парк. Дело в том, что на дорогах ледяная колея, машины невозможно припарковать, постоянно аварийная ситуация. Очень скользко пешеходы и мамы с детскими колясками и детками систематически падают. В одной из очереди жилого комплекса очистили дорогу, а на территории между домами 25/2, 27 и 29 ничего не делали и не делается по сей день."
491,Благоустройство,2022-02-24,Здравствуйте<br>Переулок декабристов д 8<br>Прилагаю фото
492,Благоустройство,2022-02-24,"с 01.12.2021 - по сегодняшний день (24.02.2022) не производится уборка дворовой територии, а также автомобильных проездов по адресу улица Джона Рида дом 7 корпус 3. На единственном(!!!) проезде к дому образовались огромные колеи, которые заполнены водой по щиколотку, наледь и слежавшийся снег образуют непроходимые брустверы между тротуаром и проездом, а также грязными кучами снега покрыта вся территория двора! После неоднократных обращений в различные ответственные инстанции уборка так и не была произведена. Просим немедленно произвести работы по уборке на указанной территории, из-за заполненного наледью снегом и водой проезда к дому затруднен проезд скорой помощи, пожарной машины, социального такси!"
493,Дороги,2022-02-24,Добрый день! Примите заявку. На трамвайных путях Бухарестской улицы около метро пр. Славы не подойти к светофору
494,Дороги,2022-02-24,Здравствуйте<br>21.02.2022 мной была сделана заявка на уборку наледи дорожного покрытия<br>По телефону который вы указали выше +78122423604<br>Заявка номер 424 приняла оператор Торкина Елена Геннадьевна.<br>До сих пор нет реагирования и отработки заявки.
495,Дороги,2022-02-24,"Доброе утро. 10 дней не могу добиться от местной администрации, чтобы привели в порядок внутриквартальных территорию на проспекте Луначарского д. 70 к.1. Она соединяется с Поэтическим бульваром. Я с ребенком- инвалидом хожу в школу по этой дороге. Сначала мы ходили по щиколотку в снежной жиже,а теперь по голому льду. Песка эта дорога не видела всю зиму. Дорога ведёт к двум поликлиникам и двум школам."
